plate,row,col,plantID
2022-005,D,9,F3.35.002
2022-005,E,9,S3.09.002
2022-005,F,9,S3.04.002
2022-005,G,9,F3.28.002
2022-005,H,9,F3.20.002
2022-005,A,10,F3.22.002
2022-005,B,10,F3.14.002
2022-005,C,10,F3.32.002
2022-005,D,10,blank_2022-005_D10
2022-005,E,10,F3.27.002
2022-005,F,10,F3.40.002
2022-005,G,10,F3.31.002
2022-005,H,10,F3.26.002
2022-005,A,11,F3.05.002
2022-005,B,11,S3.02.002
2022-005,C,11,F3.19.002
2022-005,D,11,F3.18.002
2022-005,E,11,F3.01.002
2022-005,F,11,F3.13.002
2022-005,G,11,F3.12.002
2022-005,H,11,S2.38.002
2022-005,A,12,F3.25.002
2022-005,B,12,F3.15.002
2022-005,C,12,S3.06.002
2022-005,D,12,S2.37.002
2022-005,E,12,F3.21.002
2022-005,F,12,S3.08.002
2022-005,G,12,F3.33.002
2022-005,H,12,S2.36.002
2022-006,A,1,F3.18.003
2022-006,B,1,S3.03.003
2022-006,C,1,S3.08.003
2022-006,D,1,S3.06.003
2022-006,E,1,S3.09.003
2022-006,F,1,F3.04.003
2022-006,G,1,F3.37.003
2022-006,H,1,F3.20.003
2022-006,A,2,F3.27.003
2022-006,B,2,F3.02.003
2022-006,C,2,F3.26.003
2022-006,D,2,S3.04.003
2022-006,E,2,S2.36.003
2022-006,F,2,S3.01.003
2022-006,G,2,F3.01.003
2022-006,H,2,F3.30.003
2022-006,A,3,F3.24.003
2022-006,B,3,S3.05.003
2022-006,C,3,F3.33.003
2022-006,D,3,F3.15.003
2022-006,E,3,F3.36.003
2022-006,F,3,F3.32.003
2022-006,G,3,F3.38.003
2022-006,H,3,S2.38.003
2022-006,A,4,F3.17.003
2022-006,B,4,S3.07.003
2022-006,C,4,F3.11.003
2022-006,D,4,F3.13.003
2022-006,E,4,F3.34.003
2022-006,F,4,F3.35.003
2022-006,G,4,F3.28.003
2022-006,H,4,F3.23.003
2022-006,A,5,F3.22.003
2022-006,B,5,F3.39.003
2022-006,C,5,F3.12.003
2022-006,D,5,F3.19.003
2022-006,E,5,F3.14.003
2022-006,F,5,F3.40.003
2022-006,G,5,F3.03.003
2022-006,H,5,F3.31.003
2022-006,A,6,F3.16.003
2022-006,B,6,F3.29.003
2022-006,C,6,F3.05.003
2022-006,D,6,F3.21.003
2022-006,E,6,S2.37.003
2022-006,F,6,blank_2022-006_F6
2022-006,G,6,S3.02.003
2022-006,H,6,F3.25.003
2022-006,A,7,F3.24.004
2022-006,B,7,S3.02.004
2022-006,C,7,F3.38.004
2022-006,D,7,blank_2022-006_D7
2022-006,E,7,F3.16.004
2022-006,F,7,F3.05.004
2022-006,G,7,F3.23.004
2022-006,H,7,S3.04.004
2022-006,A,8,S3.05.004
2022-006,B,8,S3.09.004
2022-006,C,8,F3.01.004
2022-006,D,8,S3.01.004
2022-006,E,8,F3.36.004
2022-006,F,8,F3.03.004
2022-006,G,8,F3.19.004
2022-006,H,8,S2.38.004
2022-006,A,9,F3.14.004
2022-006,B,9,S3.06.004
2022-006,C,9,F3.15.004
2022-006,D,9,F3.37.004
2022-006,E,9,S2.36.004
2022-006,F,9,F3.32.004
2022-006,G,9,F3.04.004
2022-006,H,9,F3.28.004
2022-006,A,10,F3.02.004
2022-006,B,10,F3.40.004
2022-006,C,10,F3.26.004
2022-006,D,10,S3.03.004
2022-006,E,10,S3.08.004
2022-006,F,10,S2.37.004
2022-006,G,10,F3.22.004
2022-006,H,10,F3.21.004
2022-006,A,11,F3.18.004
2022-006,B,11,F3.31.004
2022-006,C,11,F3.11.004
2022-006,D,11,F3.12.004
2022-006,E,11,F3.17.004
2022-006,F,11,F3.13.004
2022-006,G,11,S3.07.004
2022-006,H,11,F3.25.004
2022-006,A,12,F3.35.004
2022-006,B,12,F3.33.004
2022-006,C,12,F3.30.004
2022-006,D,12,F3.39.004
2022-006,E,12,F3.34.004
2022-006,F,12,F3.29.004
2022-006,G,12,F3.27.004
2022-006,H,12,F3.20.004
