sample,tray,pos,mother,father,simpleID,crossID,cross label,Germinated_200226,Plate 187,
74,4,2,1158_2,1158_2,H1 s1,H1.2 s1,,0,,
75,4,3,,,,,,1,,
78,4,6,6024_3,6024_3,L1 s1,L1.3 s1,,0,,
80,4,8,,,,,,1,,
81,4,9,8249_4,8249_4,L2 s1,L2.4 s1,,1,,
82,4,10,1158_2,6024_5,H1 x L1,H1.2 x L1.5,4,1,,
83,4,11,1158_2,6184_1,H1 x H2,H1.2 x H2.1,7,1,,
85,4,13,1158_2,1158_2,H1 s1,H1.2 s1,,0,,
87,4,15,6024_2,6024_2,L1 s1,L1.2 s1,,0,,
90,4,18,6024_5,6024_5,L1 s1,L1.5 s1,,0,,
93,4,21,6024_3,6024_3,L1 s1,L1.3 s1,,0,,
94,4,22,6184_1,6184_1,H2 s1,H2.1 s1,,1,,
95,4,23,6024_2,1158_2,L1 x H1,L1.2 x H1.2,3,0,,
