cross,F2_family,F2_mother,F3_family,label_colour,i,rep,plant_id,tray,sequencing_plate,order,random,coord
6184x1158,F2.35,F2.35.023,F3.21,orange,1,4,F3.21.004,4,2,16,46,H10
6184x1158,F2.35,F2.35.015,F3.22,orange,2,1,F3.22.001,1,1,17,1,A1
6184x1158,F2.35,F2.35.015,F3.22,orange,2,2,F3.22.002,2,1,17,4,A10
6184x1158,F2.35,F2.35.015,F3.22,orange,2,3,F3.22.003,3,2,17,5,A5
6184x1158,F2.35,F2.35.015,F3.22,orange,2,4,F3.22.004,4,2,17,40,G10
6184x1158,F2.35,F2.35.017,F3.23,orange,3,1,F3.23.001,1,1,18,6,A6
6184x1158,F2.35,F2.35.017,F3.23,orange,3,2,F3.23.002,2,1,18,19,D7
6184x1158,F2.35,F2.35.017,F3.23,orange,3,3,F3.23.003,3,2,18,46,H4
6184x1158,F2.35,F2.35.017,F3.23,orange,3,4,F3.23.004,4,2,18,37,G7
6184x1158,F2.35,F2.35.022,F3.24,orange,4,1,F3.24.001,1,1,19,35,F5
6184x1158,F2.35,F2.35.022,F3.24,orange,4,2,F3.24.002,2,1,19,8,B8
6184x1158,F2.35,F2.35.022,F3.24,orange,4,3,F3.24.003,3,2,19,3,A3
6184x1158,F2.35,F2.35.022,F3.24,orange,4,4,F3.24.004,4,2,19,1,A7
6184x1158,F2.35,F2.35.014,F3.25,orange,5,1,F3.25.001,1,1,20,48,H6
6184x1158,F2.35,F2.35.014,F3.25,orange,5,2,F3.25.002,2,1,20,6,A12
6184x1158,F2.35,F2.35.014,F3.25,orange,5,3,F3.25.003,3,2,20,48,H6
6184x1158,F2.35,F2.35.014,F3.25,orange,5,4,F3.25.004,4,2,20,47,H11
6184x8249,F2.27,F2.27.020,F3.26,pink,1,1,F3.26.001,1,1,21,24,D6
6184x8249,F2.27,F2.27.020,F3.26,pink,1,2,F3.26.002,2,1,21,46,H10
6184x8249,F2.27,F2.27.020,F3.26,pink,1,3,F3.26.003,3,2,21,14,C2
6184x8249,F2.27,F2.27.020,F3.26,pink,1,4,F3.26.004,4,2,21,16,C10
6184x8249,F2.27,F2.27.023,F3.27,pink,2,1,F3.27.001,1,1,22,47,H5
6184x8249,F2.27,F2.27.023,F3.27,pink,2,2,F3.27.002,2,1,22,28,E10
6184x8249,F2.27,F2.27.023,F3.27,pink,2,3,F3.27.003,3,2,22,2,A2
6184x8249,F2.27,F2.27.023,F3.27,pink,2,4,F3.27.004,4,2,22,42,G12
6184x8249,F2.27,F2.27.021,F3.28,pink,3,1,F3.28.001,1,1,23,34,F4
6184x8249,F2.27,F2.27.021,F3.28,pink,3,2,F3.28.002,2,1,23,39,G9
6184x8249,F2.27,F2.27.021,F3.28,pink,3,3,F3.28.003,3,2,23,40,G4
6184x8249,F2.27,F2.27.021,F3.28,pink,3,4,F3.28.004,4,2,23,45,H9
6184x8249,F2.27,F2.27.026,F3.29,pink,4,1,F3.29.001,1,1,24,14,C2
6184x8249,F2.27,F2.27.026,F3.29,pink,4,2,F3.29.002,2,1,24,38,G8
6184x8249,F2.27,F2.27.026,F3.29,pink,4,3,F3.29.003,3,2,24,12,B6
6184x8249,F2.27,F2.27.026,F3.29,pink,4,4,F3.29.004,4,2,24,36,F12
6184x8249,F2.27,F2.27.018,F3.30,pink,5,1,F3.30.001,1,1,25,45,H3
6184x8249,F2.27,F2.27.018,F3.30,pink,5,2,F3.30.002,2,1,25,7,B7
6184x8249,F2.27,F2.27.018,F3.30,pink,5,3,F3.30.003,3,2,25,44,H2
6184x8249,F2.27,F2.27.018,F3.30,pink,5,4,F3.30.004,4,2,25,18,C12
8249x6184,F2.25,F2.25.019,F3.31,pink,1,1,F3.31.001,1,1,26,21,D3
8249x6184,F2.25,F2.25.019,F3.31,pink,1,2,F3.31.002,2,1,26,40,G10
8249x6184,F2.25,F2.25.019,F3.31,pink,1,3,F3.31.003,3,2,26,47,H5
8249x6184,F2.25,F2.25.019,F3.31,pink,1,4,F3.31.004,4,2,26,11,B11
8249x6184,F2.25,F2.25.020,F3.32,pink,2,1,F3.32.001,1,1,27,42,G6
8249x6184,F2.25,F2.25.020,F3.32,pink,2,2,F3.32.002,2,1,27,16,C10
8249x6184,F2.25,F2.25.020,F3.32,pink,2,3,F3.32.003,3,2,27,33,F3
8249x6184,F2.25,F2.25.020,F3.32,pink,2,4,F3.32.004,4,2,27,33,F9
8249x6184,F2.25,F2.25.022,F3.33,pink,3,1,F3.33.001,1,1,28,4,A4
8249x6184,F2.25,F2.25.022,F3.33,pink,3,2,F3.33.002,2,1,28,42,G12
8249x6184,F2.25,F2.25.022,F3.33,pink,3,3,F3.33.003,3,2,28,15,C3
8249x6184,F2.25,F2.25.022,F3.33,pink,3,4,F3.33.004,4,2,28,12,B12
8249x6184,F2.25,F2.25.015,F3.34,pink,4,1,F3.34.001,1,1,29,29,E5
8249x6184,F2.25,F2.25.015,F3.34,pink,4,2,F3.34.002,2,1,29,3,A9
8249x6184,F2.25,F2.25.015,F3.34,pink,4,3,F3.34.003,3,2,29,28,E4
8249x6184,F2.25,F2.25.015,F3.34,pink,4,4,F3.34.004,4,2,29,30,E12
8249x6184,F2.25,F2.25.018,F3.35,pink,5,1,F3.35.001,1,1,30,8,B2
8249x6184,F2.25,F2.25.018,F3.35,pink,5,2,F3.35.002,2,1,30,21,D9
8249x6184,F2.25,F2.25.018,F3.35,pink,5,3,F3.35.003,3,2,30,34,F4
8249x6184,F2.25,F2.25.018,F3.35,pink,5,4,F3.35.004,4,2,30,6,A12
8249x6024,F2.32,F2.32.023,F3.36,blue,1,1,F3.36.001,1,1,31,19,D1
8249x6024,F2.32,F2.32.023,F3.36,blue,1,2,F3.36.002,2,1,31,37,G7
8249x6024,F2.32,F2.32.023,F3.36,blue,1,3,F3.36.003,3,2,31,27,E3
8249x6024,F2.32,F2.32.023,F3.36,blue,1,4,F3.36.004,4,2,31,26,E8
8249x6024,F2.32,F2.32.019,F3.37,blue,2,1,F3.37.001,1,1,32,37,G1
8249x6024,F2.32,F2.32.019,F3.37,blue,2,2,F3.37.002,2,1,32,13,C7
8249x6024,F2.32,F2.32.019,F3.37,blue,2,3,F3.37.003,3,2,32,37,G1
8249x6024,F2.32,F2.32.019,F3.37,blue,2,4,F3.37.004,4,2,32,21,D9
8249x6024,F2.32,F2.320.18,F3.38,blue,3,1,F3.38.001,1,1,33,43,H1
8249x6024,F2.32,F2.320.18,F3.38,blue,3,2,F3.38.002,2,1,33,15,C9
8249x6024,F2.32,F2.320.18,F3.38,blue,3,3,F3.38.003,3,2,33,39,G3
8249x6024,F2.32,F2.320.18,F3.38,blue,3,4,F3.38.004,4,2,33,13,C7
8249x6024,F2.32,F2.32.017,F3.39,blue,4,1,F3.39.001,1,1,34,33,F3
8249x6024,F2.32,F2.32.017,F3.39,blue,4,2,F3.39.002,2,1,34,14,C8
8249x6024,F2.32,F2.32.017,F3.39,blue,4,3,F3.39.003,3,2,34,11,B5
8249x6024,F2.32,F2.32.017,F3.39,blue,4,4,F3.39.004,4,2,34,24,D12
8249x6024,F2.32,F2.32.015,F3.40,blue,5,1,F3.40.001,1,1,35,26,E2
